startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,85.0,2984.28,1033.49,1687.82,2140.56,2984.28,1687.82
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,106.0,2626.66,1093.74,1827.95,2086.26,2344.69,1827.95
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,83.0,2406.16,1046.89,1359.28,1974.56,2406.16,1359.28
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,80.0,2243.01,1078.06,1469.85,1937.69,2243.01,1469.85
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,82.0,2837.8,1046.52,1775.17,2093.74,2837.8,1775.17
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,87.0,2784.45,1105.87,1578.29,2015.83,2784.45,1578.29
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,133.0,3094.45,1140.48,1359.3,2421.1,2583.39,1359.3
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,79.0,2984.35,1187.5,1562.52,2653.53,2984.35,1562.52
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,115.0,2937.52,1125.0,1249.98,2171.73,2754.62,1249.98
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,89.0,2672.06,1140.61,1265.61,2312.5,2672.06,1265.61
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,113.0,3171.89,1124.98,1229.58,2112.38,2484.4,1229.58
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,76.0,4711.46,1109.4,1203.26,2515.65,4711.46,1203.26
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,119.0,39009.39,1124.97,1253.72,2453.05,3499.95,1253.72
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,120.0,5207.07,1171.99,1286.86,1956.42,4128.57,1286.86
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,99.0,2770.79,1140.67,1317.68,2422.22,2770.79,1317.68
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,108.0,2954.7,1104.75,1185.89,2117.37,2296.86,1185.89
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,102.0,3023.5,1093.7,1531.23,2124.92,2561.37,1531.23
2018-02-27,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,146.0,2677.63,1071.41,1156.21,2156.34,2421.81,1156.21
2018-02-28,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,118.0,3984.36,1124.98,1243.82,2174.92,3703.08,1243.82
2018-03-01,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,116.0,2727.91,1109.54,1199.61,2052.73,2359.48,1199.61
2018-03-02,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,104.0,2756.71,1124.98,1179.75,1634.72,2218.65,1179.75
2018-03-05,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,118.0,3647.01,1093.74,1218.85,2226.03,2503.85,1218.85
2018-03-06,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,140.0,6359.28,1124.96,1251.23,2173.48,2734.36,1251.23
2018-03-07,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountForCreatedByUserId],All,116.0,2962.8,1078.11,1203.09,2109.32,2478.02,1203.09
