startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,29576.0,1187.96,62.5,62.5,62.83,93.8,62.5
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,26563.0,9249.71,62.5,62.5,63.3,103.41,62.5
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,32246.0,5213.64,62.5,62.5,78.12,171.87,62.5
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,31201.0,1109.37,62.5,62.51,78.12,124.99,62.51
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,24064.0,6813.73,62.5,62.51,78.15,109.38,62.51
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,20031.0,2656.37,62.5,62.5,65.79,93.75,62.5
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,18957.0,6334.57,62.5,62.5,63.22,93.76,62.5
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,16178.0,4993.28,62.5,62.5,65.63,124.99,62.5
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,21661.0,7768.61,62.5,62.5,78.1,101.66,62.5
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,18340.0,45059.94,62.5,62.51,140.62,439.8,62.51
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,17267.0,8132.56,62.5,62.51,62.64,93.79,62.51
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,14492.0,11175.68,62.49,62.5,62.57,94.29,62.5
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,20901.0,14491.1,62.5,62.5,62.63,109.34,62.5
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,22026.0,19047.87,62.49,62.5,65.13,109.37,62.5
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,21086.0,32484.42,62.5,62.5,62.64,93.75,62.5
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,19110.0,9406.09,62.5,62.5,62.56,79.28,62.5
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketsWithNoCustomerType],All,19706.0,656.25,62.5,62.5,62.57,78.51,62.5
