startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,124.0,7335.13,1437.31,1829.24,2643.89,2937.4,1829.24
2018-02-05,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,156.0,40067.34,1485.7,1875.08,2578.16,24277.75,1875.08
2018-02-06,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,125.0,3203.01,1507.56,1671.83,2812.4,3171.75,1671.83
2018-02-07,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,114.0,42063.56,1437.57,1812.3,2515.74,2579.1,1812.3
2018-02-08,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,118.0,4180.34,1374.99,1749.98,2625.07,3531.18,1749.98
2018-02-09,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,113.0,3650.76,1422.1,1796.87,2712.41,3059.53,1796.87
2018-02-12,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,209.0,40094.36,1468.78,1702.86,2578.25,3415.08,1702.86
2018-02-13,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,134.0,3558.85,1546.83,1765.62,2562.43,3343.69,1765.62
2018-02-14,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,166.0,2937.46,1437.48,1593.77,2174.63,2578.1,1593.77
2018-02-15,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,114.0,4071.58,1437.51,1668.4,2783.56,3144.36,1668.4
2018-02-16,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,163.0,3609.38,1472.38,1638.06,1999.95,3451.86,1638.06
2018-02-19,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,100.0,40090.51,1406.24,1546.86,35937.68,40076.04,1546.86
2018-02-20,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,198.0,40121.89,1487.66,1593.83,2546.78,4093.72,1593.83
2018-02-21,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,169.0,5986.39,1531.24,1655.51,2606.62,4972.3,1655.51
2018-02-22,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,138.0,3594.41,1468.76,1577.82,3351.67,3571.13,1577.82
2018-02-23,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,158.0,5719.55,1437.76,1531.24,1890.71,3422.61,1531.24
2018-02-26,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,129.0,3520.14,1453.12,1593.75,2438.65,2828.2,1593.75
2018-02-27,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,226.0,3561.23,1408.58,1491.86,2504.76,3265.64,1491.86
2018-02-28,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,195.0,4233.73,1454.01,1518.88,2440.92,4156.51,1518.88
2018-03-01,UcmTicketingDbConn,[Common].[GetUserCreatedTickets],All,175.0,40004.5,1437.49,1515.63,2250.03,11422.04,1515.63
