startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[HasRoleMapping],All,7939.0,19272.72,62.49,62.5,88.95,171.73,62.5
2018-02-05,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9058.0,19269.29,62.48,62.5,78.22,140.63,62.5
2018-02-06,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9635.0,19264.65,62.49,62.5,93.97,280.8,62.5
2018-02-07,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9222.0,19242.66,62.49,62.51,93.75,185.66,62.51
2018-02-08,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9001.0,19271.36,62.49,62.57,93.76,172.21,62.57
2018-02-09,UcmTicketingDbConn,[Common].[HasRoleMapping],All,8291.0,19258.83,62.49,62.51,93.62,171.87,62.51
2018-02-12,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10458.0,6343.74,62.49,62.51,93.35,159.13,62.51
2018-02-13,UcmTicketingDbConn,[Common].[HasRoleMapping],All,6626.0,2109.28,62.49,62.51,93.75,158.31,62.51
2018-02-14,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9190.0,19263.91,62.49,62.51,93.73,156.33,62.51
2018-02-15,UcmTicketingDbConn,[Common].[HasRoleMapping],All,8629.0,19256.61,62.49,62.51,205.29,489.01,62.51
2018-02-16,UcmTicketingDbConn,[Common].[HasRoleMapping],All,7301.0,1733.82,62.49,62.51,78.53,156.25,62.51
2018-02-19,UcmTicketingDbConn,[Common].[HasRoleMapping],All,5891.0,2138.14,62.47,62.5,78.13,140.67,62.5
2018-02-20,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9073.0,1875.13,62.48,62.5,79.17,157.0,62.5
2018-02-21,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9481.0,16887.37,62.49,62.51,93.74,171.77,62.51
2018-02-22,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9989.0,19249.64,62.49,62.51,80.53,165.17,62.51
2018-02-23,UcmTicketingDbConn,[Common].[HasRoleMapping],All,8709.0,19245.17,62.47,62.5,78.88,156.25,62.5
2018-02-26,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10890.0,4421.92,62.49,62.5,78.28,156.24,62.5
2018-02-27,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11164.0,5218.65,62.48,62.5,93.53,156.25,62.5
2018-02-28,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11004.0,19374.7,62.49,62.51,93.75,156.25,62.51
2018-03-01,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11586.0,18491.76,62.49,62.51,93.74,187.5,62.51
2018-03-02,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11578.0,45025.47,62.49,62.51,93.74,171.85,62.51
2018-03-05,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9869.0,1625.25,62.49,62.5,78.81,141.15,62.5
2018-03-06,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10351.0,19255.07,62.49,62.51,93.73,171.86,62.51
2018-03-07,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9690.0,19259.54,62.49,62.51,93.99,201.81,62.51
2018-03-08,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9141.0,19277.58,62.49,62.5,93.71,156.63,62.5
2018-03-09,UcmTicketingDbConn,[Common].[HasRoleMapping],All,7748.0,19291.11,62.49,62.5,78.17,155.78,62.5
2018-03-12,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11589.0,19316.56,62.49,62.5,93.68,156.25,62.5
2018-03-13,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11056.0,45023.52,62.49,62.5,93.74,203.12,62.5
2018-03-14,UcmTicketingDbConn,[Common].[HasRoleMapping],All,12053.0,19253.06,62.49,62.51,93.74,158.13,62.51
2018-03-15,UcmTicketingDbConn,[Common].[HasRoleMapping],All,13165.0,19376.22,62.49,62.51,92.78,156.32,62.51
2018-03-16,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10363.0,19379.11,62.49,62.5,92.91,171.54,62.5
2018-03-19,UcmTicketingDbConn,[Common].[HasRoleMapping],All,8621.0,19274.25,62.49,62.5,78.77,154.04,62.5
2018-03-20,UcmTicketingDbConn,[Common].[HasRoleMapping],All,9558.0,19267.46,62.49,62.5,93.74,171.88,62.5
2018-03-21,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10720.0,19366.83,62.49,62.51,93.74,171.87,62.51
2018-03-22,UcmTicketingDbConn,[Common].[HasRoleMapping],All,8934.0,19265.4,62.49,62.5,79.06,157.31,62.5
2018-03-23,UcmTicketingDbConn,[Common].[HasRoleMapping],All,15054.0,19385.28,62.49,62.51,80.72,154.19,62.51
2018-03-26,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10446.0,19249.17,62.49,62.5,93.44,180.53,62.5
2018-03-27,UcmTicketingDbConn,[Common].[HasRoleMapping],All,14636.0,21661.82,62.49,62.51,93.74,171.88,62.51
2018-03-28,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11727.0,19393.8,62.49,62.51,93.75,187.46,62.51
2018-03-29,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10776.0,19361.38,62.49,62.51,93.74,171.87,62.51
2018-03-30,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11124.0,13640.36,62.49,62.51,93.74,171.38,62.51
2018-04-02,UcmTicketingDbConn,[Common].[HasRoleMapping],All,7828.0,6171.89,62.49,62.51,93.75,203.03,62.51
2018-04-03,UcmTicketingDbConn,[Common].[HasRoleMapping],All,12092.0,19265.29,62.49,62.51,93.75,187.41,62.51
2018-04-04,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11616.0,19283.89,62.49,62.51,93.74,171.8,62.51
2018-04-05,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11886.0,19261.22,62.49,62.5,90.26,156.38,62.5
2018-04-06,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11500.0,19301.14,62.49,62.51,78.85,156.25,62.51
2018-04-09,UcmTicketingDbConn,[Common].[HasRoleMapping],All,10693.0,7534.96,62.49,62.5,78.29,156.28,62.5
2018-04-10,UcmTicketingDbConn,[Common].[HasRoleMapping],All,11034.0,4421.76,62.49,62.51,78.83,156.16,62.51
