startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,209.0,625.21,62.5,62.51,78.13,109.37,62.51
2018-02-05,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,239.0,1312.48,62.5,62.51,78.14,176.48,62.51
2018-02-06,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,174.0,109.37,62.5,62.51,78.13,93.78,62.51
2018-02-07,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,196.0,281.27,62.5,62.51,78.15,156.25,62.51
2018-02-08,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,175.0,218.75,62.5,78.11,93.75,140.66,78.11
2018-02-09,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,169.0,1124.97,62.5,62.51,78.12,109.41,62.51
2018-02-12,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,266.0,296.87,62.5,62.51,78.12,109.19,62.51
2018-02-13,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,179.0,187.54,62.5,62.53,78.49,187.48,62.53
2018-02-14,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,196.0,109.37,62.5,62.53,78.12,94.37,62.53
2018-02-15,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,180.0,1320.38,62.5,62.54,390.58,1118.3,62.54
2018-02-16,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,193.0,484.42,62.5,62.52,78.18,218.75,62.52
2018-02-19,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,142.0,93.75,62.5,62.51,78.11,81.95,62.51
2018-02-20,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,215.0,234.38,62.5,62.51,78.12,108.99,62.51
2018-02-21,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,221.0,124.81,62.49,62.51,78.12,78.19,62.51
2018-02-22,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,213.0,187.5,62.5,62.51,78.12,78.81,62.51
2018-02-23,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,189.0,93.75,62.49,62.5,78.12,78.14,62.5
2018-02-26,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,177.0,124.99,62.5,62.51,78.09,93.74,62.51
2018-02-27,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,171.0,78.53,62.5,62.51,78.12,78.33,62.51
2018-02-28,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,180.0,109.37,62.5,62.51,78.16,109.37,62.51
2018-03-01,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,225.0,234.38,62.5,62.51,78.12,93.75,62.51
2018-03-02,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,142.0,19366.65,62.5,62.51,78.12,593.79,62.51
2018-03-05,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,173.0,141.8,62.5,62.5,64.66,109.35,62.5
2018-03-06,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,145.0,296.9,62.5,62.51,78.12,140.62,62.51
2018-03-07,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,142.0,303.29,62.5,62.51,78.13,109.37,62.51
2018-03-08,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,220.0,123.61,62.5,62.51,78.12,93.48,62.51
2018-03-09,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,193.0,187.45,62.5,62.51,78.12,93.75,62.51
2018-03-12,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,221.0,406.24,62.5,62.52,78.12,125.53,62.52
2018-03-13,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,199.0,9864.44,62.5,62.51,78.12,1844.58,62.51
2018-03-14,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,242.0,218.74,62.5,62.51,78.19,125.0,62.51
2018-03-15,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,242.0,109.36,62.5,62.51,78.12,93.74,62.51
2018-03-16,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,201.0,124.76,62.5,62.51,78.12,109.42,62.51
2018-03-19,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,152.0,109.32,62.5,62.51,78.13,93.74,62.51
2018-03-20,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,251.0,328.12,62.5,62.51,78.13,140.62,62.51
2018-03-21,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,182.0,171.88,62.5,62.51,78.12,109.38,62.51
2018-03-22,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,183.0,281.26,62.5,62.51,78.11,78.13,62.51
2018-03-23,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,181.0,234.32,62.5,62.51,78.13,93.78,62.51
2018-03-26,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,188.0,111.87,62.5,62.51,78.14,109.37,62.51
2018-03-27,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,250.0,171.86,62.5,62.51,78.13,156.24,62.51
2018-03-28,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,240.0,234.36,62.5,62.51,78.14,109.42,62.51
2018-03-29,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,211.0,593.73,62.5,62.51,78.13,187.51,62.51
2018-03-30,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,186.0,421.95,62.5,62.51,78.14,265.62,62.51
2018-04-02,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,115.0,234.39,62.5,62.53,78.13,156.21,62.53
2018-04-03,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,285.0,125.0,62.5,62.51,78.13,109.39,62.51
2018-04-04,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,225.0,156.71,62.5,62.51,78.16,140.63,62.51
2018-04-05,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,246.0,171.87,62.5,62.52,78.13,93.76,62.52
2018-04-06,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,175.0,578.13,62.5,62.5,78.12,93.32,62.5
2018-04-09,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,238.0,173.48,62.5,62.51,78.12,93.75,62.51
2018-04-10,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,244.0,1218.23,62.5,62.51,78.14,109.38,62.51
2018-04-11,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,235.0,250.0,62.5,62.53,93.75,217.8,62.53
2018-04-12,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,257.0,312.49,62.5,62.51,78.12,156.52,62.51
2018-04-13,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,318.0,187.49,62.5,62.51,78.13,93.75,62.51
2018-04-16,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,204.0,140.63,62.5,62.51,78.13,109.37,62.51
2018-04-17,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,262.0,124.99,62.5,62.53,78.13,109.37,62.53
2018-04-18,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,286.0,140.63,62.5,62.52,78.13,124.99,62.52
2018-04-19,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,280.0,125.0,62.49,62.51,78.11,78.16,62.51
2018-04-20,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,218.0,124.96,62.5,62.51,78.13,81.87,62.51
2018-04-23,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,193.0,141.08,62.5,62.51,78.13,109.38,62.51
2018-04-24,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,229.0,156.16,62.5,62.53,78.14,125.0,62.53
2018-04-25,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,222.0,122.82,62.5,62.52,78.13,109.37,62.52
2018-04-26,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,208.0,577.96,62.5,78.11,159.19,421.39,78.11
2018-04-27,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,212.0,312.52,62.51,62.54,78.27,156.29,62.54
2018-04-30,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,223.0,187.46,62.49,62.51,78.11,93.6,62.51
2018-05-01,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,221.0,968.73,62.5,62.51,78.13,140.64,62.51
2018-05-02,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,225.0,171.87,62.5,62.51,78.13,94.32,62.51
2018-05-03,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,255.0,265.62,62.5,62.51,78.12,140.19,62.51
2018-05-04,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,204.0,140.63,62.5,62.51,78.12,93.79,62.51
2018-05-07,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,188.0,93.75,62.5,62.51,78.12,80.46,62.51
2018-05-08,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,215.0,171.84,62.5,62.52,78.13,153.65,62.52
2018-05-09,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,268.0,15234.3,62.5,62.53,78.13,109.39,62.53
2018-05-10,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,226.0,11104.83,62.5,62.53,79.34,1000.03,62.53
2018-05-11,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,314.0,220.2,62.5,62.51,78.13,93.75,62.51
2018-05-14,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,213.0,156.25,62.49,62.54,78.14,140.58,62.54
2018-05-15,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,208.0,406.26,62.5,62.52,78.16,93.75,62.52
2018-05-16,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,291.0,734.51,62.5,62.52,78.13,93.74,62.52
2018-05-17,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,252.0,109.32,62.49,62.52,78.14,81.48,62.52
2018-05-18,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,222.0,364.03,62.5,62.53,78.14,81.13,62.53
2018-05-21,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,213.0,625.03,62.5,62.52,78.12,119.9,62.52
2018-05-22,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,244.0,109.34,62.5,62.53,78.14,79.19,62.53
2018-05-23,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,223.0,640.64,62.49,62.53,78.13,82.84,62.53
2018-05-24,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,266.0,734.39,62.49,62.52,78.14,171.86,62.52
2018-05-25,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,227.0,203.1,62.5,62.53,78.13,82.95,62.53
2018-05-28,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,152.0,93.78,61.59,62.51,78.02,82.16,62.51
2018-05-29,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,141.0,156.25,62.5,62.53,78.12,90.26,62.53
2018-05-30,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,235.0,93.75,62.49,62.53,78.14,79.02,62.53
2018-05-31,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,251.0,124.99,62.08,62.51,78.12,123.65,62.51
2018-06-01,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,193.0,80.72,62.5,62.52,78.13,80.3,62.52
2018-06-04,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,209.0,343.74,62.49,62.52,78.12,79.47,62.52
2018-06-05,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,242.0,156.27,62.5,62.54,78.19,109.41,62.54
2018-06-06,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,194.0,125.01,62.49,62.53,78.16,93.74,62.53
2018-06-07,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,206.0,202.09,62.49,62.52,78.15,109.39,62.52
2018-06-08,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,167.0,156.25,62.49,62.52,78.15,140.64,62.52
2018-06-11,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,304.0,421.99,62.47,62.51,78.1,79.07,62.51
2018-06-12,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,382.0,94.43,62.5,62.52,78.12,80.12,62.52
2018-06-13,UcmTicketingDbConn,[Common].[InsertTicketRelationships],All,222.0,593.78,62.5,62.53,78.15,109.37,62.53
