startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[ReopenTicket],All,63.0,312.5,62.5,78.12,93.75,312.5,78.12
2018-02-05,UcmTicketingDbConn,[Common].[ReopenTicket],All,69.0,109.37,62.5,75.35,93.75,109.37,75.35
2018-02-06,UcmTicketingDbConn,[Common].[ReopenTicket],All,60.0,156.01,62.5,78.11,94.41,156.01,78.11
2018-02-07,UcmTicketingDbConn,[Common].[ReopenTicket],All,75.0,171.89,77.39,78.13,140.62,171.89,78.13
2018-02-08,UcmTicketingDbConn,[Common].[ReopenTicket],All,65.0,109.38,68.99,78.14,93.76,109.38,78.14
2018-02-09,UcmTicketingDbConn,[Common].[ReopenTicket],All,50.0,593.76,62.5,77.98,108.95,593.76,77.98
2018-02-12,UcmTicketingDbConn,[Common].[ReopenTicket],All,69.0,296.87,62.51,78.12,109.37,296.87,78.12
2018-02-13,UcmTicketingDbConn,[Common].[ReopenTicket],All,28.0,138.67,62.5,77.9,124.07,138.67,77.9
2018-02-14,UcmTicketingDbConn,[Common].[ReopenTicket],All,55.0,93.75,62.49,78.09,78.16,93.75,78.09
2018-02-15,UcmTicketingDbConn,[Common].[ReopenTicket],All,64.0,906.22,62.5,78.12,109.32,906.22,78.12
2018-02-16,UcmTicketingDbConn,[Common].[ReopenTicket],All,36.0,656.32,62.51,78.13,156.27,656.32,78.13
2018-02-19,UcmTicketingDbConn,[Common].[ReopenTicket],All,40.0,78.15,18.62,62.5,78.12,78.15,62.5
2018-02-20,UcmTicketingDbConn,[Common].[ReopenTicket],All,73.0,187.51,62.5,62.52,81.1,187.51,62.52
2018-02-21,UcmTicketingDbConn,[Common].[ReopenTicket],All,48.0,171.89,62.5,78.12,81.75,171.89,78.12
2018-02-22,UcmTicketingDbConn,[Common].[ReopenTicket],All,80.0,94.07,62.5,78.13,89.74,94.07,78.13
2018-02-23,UcmTicketingDbConn,[Common].[ReopenTicket],All,90.0,250.0,62.5,78.12,93.76,250.0,78.12
2018-02-26,UcmTicketingDbConn,[Common].[ReopenTicket],All,54.0,107.7,62.49,75.67,78.26,107.7,75.67
2018-02-27,UcmTicketingDbConn,[Common].[ReopenTicket],All,83.0,109.37,62.5,78.12,93.75,109.37,78.12
2018-02-28,UcmTicketingDbConn,[Common].[ReopenTicket],All,63.0,93.75,62.5,78.12,78.14,93.75,78.12
2018-03-01,UcmTicketingDbConn,[Common].[ReopenTicket],All,62.0,109.38,62.51,78.12,78.14,109.38,78.12
2018-03-02,UcmTicketingDbConn,[Common].[ReopenTicket],All,46.0,93.76,62.51,78.12,78.27,93.76,78.12
2018-03-05,UcmTicketingDbConn,[Common].[ReopenTicket],All,31.0,93.76,62.51,78.03,93.75,93.76,78.03
2018-03-06,UcmTicketingDbConn,[Common].[ReopenTicket],All,56.0,78.16,62.5,77.1,78.14,78.16,77.1
2018-03-07,UcmTicketingDbConn,[Common].[ReopenTicket],All,62.0,281.27,62.5,78.13,95.05,281.27,78.13
2018-03-08,UcmTicketingDbConn,[Common].[ReopenTicket],All,53.0,93.76,62.51,78.12,79.96,93.76,78.12
2018-03-09,UcmTicketingDbConn,[Common].[ReopenTicket],All,52.0,93.79,62.5,72.54,80.58,93.79,72.54
2018-03-12,UcmTicketingDbConn,[Common].[ReopenTicket],All,42.0,93.75,62.5,78.01,78.13,93.75,78.01
2018-03-13,UcmTicketingDbConn,[Common].[ReopenTicket],All,71.0,312.44,62.5,78.12,78.2,312.44,78.12
2018-03-14,UcmTicketingDbConn,[Common].[ReopenTicket],All,85.0,156.22,62.5,78.11,78.24,156.22,78.11
2018-03-15,UcmTicketingDbConn,[Common].[ReopenTicket],All,63.0,108.81,62.5,78.12,78.14,108.81,78.12
2018-03-16,UcmTicketingDbConn,[Common].[ReopenTicket],All,59.0,93.76,62.5,78.12,78.14,93.76,78.12
2018-03-19,UcmTicketingDbConn,[Common].[ReopenTicket],All,44.0,171.88,69.29,78.12,105.37,171.88,78.12
2018-03-20,UcmTicketingDbConn,[Common].[ReopenTicket],All,60.0,141.04,62.51,78.12,78.53,141.04,78.12
2018-03-21,UcmTicketingDbConn,[Common].[ReopenTicket],All,57.0,138.35,62.5,78.12,93.76,138.35,78.12
2018-03-22,UcmTicketingDbConn,[Common].[ReopenTicket],All,75.0,19256.7,62.51,78.12,93.74,19256.7,78.12
2018-03-23,UcmTicketingDbConn,[Common].[ReopenTicket],All,61.0,109.36,62.5,78.11,93.35,109.36,78.11
2018-03-26,UcmTicketingDbConn,[Common].[ReopenTicket],All,89.0,203.1,62.5,78.07,93.75,203.1,78.07
2018-03-27,UcmTicketingDbConn,[Common].[ReopenTicket],All,64.0,172.54,62.5,78.11,93.76,172.54,78.11
