startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[ResolveTicket],All,1128.0,1366.94,77.11,78.13,109.4,470.15,78.13
2018-02-05,UcmTicketingDbConn,[Common].[ResolveTicket],All,976.0,1031.2,77.29,78.13,109.39,328.05,78.13
2018-02-06,UcmTicketingDbConn,[Common].[ResolveTicket],All,1132.0,12625.08,77.43,78.13,109.99,374.94,78.13
2018-02-07,UcmTicketingDbConn,[Common].[ResolveTicket],All,1158.0,2642.15,78.06,78.13,124.99,374.99,78.13
2018-02-08,UcmTicketingDbConn,[Common].[ResolveTicket],All,1135.0,1941.98,78.12,78.16,125.03,593.7,78.16
2018-02-09,UcmTicketingDbConn,[Common].[ResolveTicket],All,1137.0,2064.66,77.41,78.13,93.76,265.6,78.13
2018-02-12,UcmTicketingDbConn,[Common].[ResolveTicket],All,1142.0,3609.82,75.54,78.12,93.76,234.36,78.12
2018-02-13,UcmTicketingDbConn,[Common].[ResolveTicket],All,801.0,1218.87,78.11,78.13,125.0,450.17,78.13
2018-02-14,UcmTicketingDbConn,[Common].[ResolveTicket],All,1017.0,906.15,77.57,78.13,105.82,265.61,78.13
2018-02-15,UcmTicketingDbConn,[Common].[ResolveTicket],All,1099.0,13459.84,76.74,78.13,390.62,671.9,78.13
2018-02-16,UcmTicketingDbConn,[Common].[ResolveTicket],All,1076.0,1443.4,73.68,78.13,93.76,248.95,78.13
2018-02-19,UcmTicketingDbConn,[Common].[ResolveTicket],All,796.0,849.57,66.83,78.12,93.74,390.6,78.12
2018-02-20,UcmTicketingDbConn,[Common].[ResolveTicket],All,1035.0,1171.91,72.86,78.13,125.0,484.44,78.13
2018-02-21,UcmTicketingDbConn,[Common].[ResolveTicket],All,1140.0,19381.54,76.7,78.13,109.38,249.99,78.13
2018-02-22,UcmTicketingDbConn,[Common].[ResolveTicket],All,1072.0,1733.03,73.14,78.12,109.38,515.6,78.12
2018-02-23,UcmTicketingDbConn,[Common].[ResolveTicket],All,1146.0,1656.19,70.56,78.13,109.37,640.65,78.13
2018-02-26,UcmTicketingDbConn,[Common].[ResolveTicket],All,1058.0,911.55,62.87,78.12,93.76,234.35,78.12
2018-02-27,UcmTicketingDbConn,[Common].[ResolveTicket],All,1098.0,1156.22,77.32,78.13,109.4,343.75,78.13
2018-02-28,UcmTicketingDbConn,[Common].[ResolveTicket],All,1137.0,1421.84,77.24,78.13,109.37,312.5,78.13
2018-03-01,UcmTicketingDbConn,[Common].[ResolveTicket],All,1085.0,2171.44,78.09,78.13,93.83,312.5,78.13
2018-03-02,UcmTicketingDbConn,[Common].[ResolveTicket],All,1057.0,13389.87,71.49,78.12,109.37,380.2,78.12
2018-03-05,UcmTicketingDbConn,[Common].[ResolveTicket],All,1039.0,1171.87,76.76,78.13,93.76,312.5,78.13
2018-03-06,UcmTicketingDbConn,[Common].[ResolveTicket],All,1112.0,10114.24,77.33,78.13,108.43,265.63,78.13
2018-03-07,UcmTicketingDbConn,[Common].[ResolveTicket],All,1030.0,1749.95,78.11,78.13,140.63,468.73,78.13
2018-03-08,UcmTicketingDbConn,[Common].[ResolveTicket],All,1065.0,1634.65,77.19,78.12,93.76,453.11,78.12
2018-03-09,UcmTicketingDbConn,[Common].[ResolveTicket],All,1153.0,1124.97,74.72,78.12,93.75,421.87,78.12
2018-03-12,UcmTicketingDbConn,[Common].[ResolveTicket],All,1099.0,1140.7,78.07,78.13,109.36,332.04,78.13
2018-03-13,UcmTicketingDbConn,[Common].[ResolveTicket],All,1156.0,1094.67,78.11,78.13,93.77,312.49,78.13
2018-03-14,UcmTicketingDbConn,[Common].[ResolveTicket],All,1179.0,953.12,78.0,78.13,109.36,213.94,78.13
2018-03-15,UcmTicketingDbConn,[Common].[ResolveTicket],All,1305.0,1472.48,76.49,78.13,125.03,593.74,78.13
2018-03-16,UcmTicketingDbConn,[Common].[ResolveTicket],All,1146.0,40062.82,77.32,78.13,109.36,890.64,78.13
2018-03-19,UcmTicketingDbConn,[Common].[ResolveTicket],All,907.0,1405.87,78.11,78.13,124.96,437.54,78.13
2018-03-20,UcmTicketingDbConn,[Common].[ResolveTicket],All,1039.0,19249.51,77.26,78.13,140.63,765.62,78.13
2018-03-21,UcmTicketingDbConn,[Common].[ResolveTicket],All,1199.0,1390.65,77.51,78.12,109.37,671.87,78.12
2018-03-22,UcmTicketingDbConn,[Common].[ResolveTicket],All,1074.0,1140.52,73.84,78.12,140.62,704.47,78.12
2018-03-23,UcmTicketingDbConn,[Common].[ResolveTicket],All,1032.0,1671.86,77.11,78.12,93.78,390.62,78.12
2018-03-26,UcmTicketingDbConn,[Common].[ResolveTicket],All,1047.0,1578.1,76.5,78.13,109.36,469.09,78.13
2018-03-27,UcmTicketingDbConn,[Common].[ResolveTicket],All,1156.0,19280.77,75.19,78.13,109.32,265.66,78.13
2018-03-28,UcmTicketingDbConn,[Common].[ResolveTicket],All,1216.0,1328.09,73.52,78.13,109.37,472.55,78.13
2018-03-29,UcmTicketingDbConn,[Common].[ResolveTicket],All,1205.0,1078.13,77.74,78.13,109.37,437.5,78.13
2018-03-30,UcmTicketingDbConn,[Common].[ResolveTicket],All,1138.0,1976.04,72.09,78.13,109.37,656.23,78.13
2018-04-02,UcmTicketingDbConn,[Common].[ResolveTicket],All,686.0,2100.43,78.12,78.13,140.62,707.8,78.13
2018-04-03,UcmTicketingDbConn,[Common].[ResolveTicket],All,1199.0,828.1,74.74,78.13,109.37,406.24,78.13
2018-04-04,UcmTicketingDbConn,[Common].[ResolveTicket],All,1211.0,984.35,71.94,78.13,93.77,250.01,78.13
2018-04-05,UcmTicketingDbConn,[Common].[ResolveTicket],All,1125.0,2760.01,77.07,78.13,124.71,703.11,78.13
2018-04-06,UcmTicketingDbConn,[Common].[ResolveTicket],All,1193.0,1078.12,66.74,78.13,93.76,459.69,78.13
2018-04-09,UcmTicketingDbConn,[Common].[ResolveTicket],All,1027.0,19365.55,71.87,78.12,93.76,359.38,78.12
2018-04-10,UcmTicketingDbConn,[Common].[ResolveTicket],All,1144.0,1031.82,78.11,78.13,93.77,327.49,78.13
2018-04-11,UcmTicketingDbConn,[Common].[ResolveTicket],All,1161.0,19259.48,77.23,78.13,109.37,371.39,78.13
2018-04-12,UcmTicketingDbConn,[Common].[ResolveTicket],All,1282.0,1396.01,77.53,78.13,140.61,484.39,78.13
2018-04-13,UcmTicketingDbConn,[Common].[ResolveTicket],All,1270.0,1124.98,76.48,78.13,117.34,453.12,78.13
2018-04-16,UcmTicketingDbConn,[Common].[ResolveTicket],All,1033.0,1109.39,68.67,78.13,93.79,328.12,78.13
2018-04-17,UcmTicketingDbConn,[Common].[ResolveTicket],All,1116.0,930.94,77.95,78.13,124.36,484.29,78.13
2018-04-18,UcmTicketingDbConn,[Common].[ResolveTicket],All,1153.0,667.69,76.75,78.13,109.38,265.62,78.13
2018-04-19,UcmTicketingDbConn,[Common].[ResolveTicket],All,1105.0,1328.13,74.46,78.13,93.78,463.01,78.13
2018-04-20,UcmTicketingDbConn,[Common].[ResolveTicket],All,1052.0,1125.02,76.77,78.13,109.36,437.53,78.13
2018-04-23,UcmTicketingDbConn,[Common].[ResolveTicket],All,1184.0,2218.67,77.98,78.13,107.74,328.12,78.13
2018-04-24,UcmTicketingDbConn,[Common].[ResolveTicket],All,1298.0,671.9,62.94,78.13,106.48,203.24,78.13
2018-04-25,UcmTicketingDbConn,[Common].[ResolveTicket],All,1243.0,1921.86,77.64,78.13,109.0,264.13,78.13
2018-04-26,UcmTicketingDbConn,[Common].[ResolveTicket],All,899.0,2673.3,78.12,78.14,207.27,546.86,78.14
2018-04-27,UcmTicketingDbConn,[Common].[ResolveTicket],All,1246.0,1202.1,78.12,78.13,125.01,406.24,78.13
2018-04-30,UcmTicketingDbConn,[Common].[ResolveTicket],All,1131.0,1041.87,77.37,78.13,93.75,228.48,78.13
2018-05-01,UcmTicketingDbConn,[Common].[ResolveTicket],All,1063.0,1048.09,78.06,78.13,93.75,234.36,78.13
2018-05-02,UcmTicketingDbConn,[Common].[ResolveTicket],All,1131.0,1328.12,77.37,78.13,93.76,484.4,78.13
2018-05-03,UcmTicketingDbConn,[Common].[ResolveTicket],All,1277.0,1420.67,77.42,78.13,93.78,296.91,78.13
2018-05-04,UcmTicketingDbConn,[Common].[ResolveTicket],All,1239.0,10327.74,78.03,78.13,140.62,522.45,78.13
2018-05-07,UcmTicketingDbConn,[Common].[ResolveTicket],All,1024.0,1062.59,78.11,78.13,93.75,296.89,78.13
2018-05-08,UcmTicketingDbConn,[Common].[ResolveTicket],All,1309.0,1234.35,78.11,78.13,125.0,562.51,78.13
2018-05-09,UcmTicketingDbConn,[Common].[ResolveTicket],All,1234.0,19267.14,78.1,78.13,93.76,546.88,78.13
2018-05-10,UcmTicketingDbConn,[Common].[ResolveTicket],All,1195.0,37739.31,78.11,78.13,140.62,845.76,78.13
2018-05-11,UcmTicketingDbConn,[Common].[ResolveTicket],All,1122.0,1078.08,73.66,78.12,93.75,328.11,78.12
2018-05-14,UcmTicketingDbConn,[Common].[ResolveTicket],All,1068.0,1219.1,73.72,78.13,93.04,281.24,78.13
2018-05-15,UcmTicketingDbConn,[Common].[ResolveTicket],All,1116.0,4921.93,75.32,78.14,95.13,296.89,78.14
2018-05-16,UcmTicketingDbConn,[Common].[ResolveTicket],All,1226.0,19274.95,72.41,78.13,93.74,499.58,78.13
2018-05-17,UcmTicketingDbConn,[Common].[ResolveTicket],All,1141.0,1953.08,76.26,78.13,93.77,324.18,78.13
2018-05-18,UcmTicketingDbConn,[Common].[ResolveTicket],All,1198.0,1230.48,71.56,78.13,92.36,246.33,78.13
2018-05-21,UcmTicketingDbConn,[Common].[ResolveTicket],All,1142.0,1282.03,75.73,78.14,93.79,459.42,78.14
2018-05-22,UcmTicketingDbConn,[Common].[ResolveTicket],All,1107.0,1272.49,76.02,78.14,93.77,296.91,78.14
2018-05-23,UcmTicketingDbConn,[Common].[ResolveTicket],All,1053.0,1035.33,74.21,78.13,93.75,234.41,78.13
2018-05-24,UcmTicketingDbConn,[Common].[ResolveTicket],All,1173.0,1000.02,68.0,78.13,93.67,379.3,78.13
2018-05-25,UcmTicketingDbConn,[Common].[ResolveTicket],All,1141.0,998.43,76.01,78.14,89.82,313.92,78.14
2018-05-28,UcmTicketingDbConn,[Common].[ResolveTicket],All,848.0,1015.65,74.39,78.13,82.15,593.79,78.13
2018-05-29,UcmTicketingDbConn,[Common].[ResolveTicket],All,957.0,1187.55,75.3,78.13,98.58,453.09,78.13
2018-05-30,UcmTicketingDbConn,[Common].[ResolveTicket],All,1093.0,2468.79,76.8,78.15,109.4,593.72,78.15
2018-05-31,UcmTicketingDbConn,[Common].[ResolveTicket],All,1187.0,4296.93,75.16,78.13,93.78,406.23,78.13
2018-06-01,UcmTicketingDbConn,[Common].[ResolveTicket],All,1073.0,986.24,76.03,78.14,111.94,531.25,78.14
2018-06-04,UcmTicketingDbConn,[Common].[ResolveTicket],All,948.0,19371.49,77.39,78.15,105.78,360.33,78.15
2018-06-05,UcmTicketingDbConn,[Common].[ResolveTicket],All,1048.0,1082.69,75.58,78.14,93.76,328.03,78.14
2018-06-06,UcmTicketingDbConn,[Common].[ResolveTicket],All,1003.0,3202.26,77.87,78.15,98.6,467.49,78.15
2018-06-07,UcmTicketingDbConn,[Common].[ResolveTicket],All,1231.0,1138.58,75.16,78.14,106.5,418.25,78.14
2018-06-08,UcmTicketingDbConn,[Common].[ResolveTicket],All,1089.0,1753.84,74.84,78.13,92.36,503.42,78.13
2018-06-11,UcmTicketingDbConn,[Common].[ResolveTicket],All,1068.0,18175.54,74.13,78.13,96.85,421.86,78.13
2018-06-12,UcmTicketingDbConn,[Common].[ResolveTicket],All,1058.0,19400.71,76.07,78.14,96.07,328.12,78.14
2018-06-13,UcmTicketingDbConn,[Common].[ResolveTicket],All,1208.0,19406.48,77.11,78.15,112.09,591.88,78.15
2018-06-14,UcmTicketingDbConn,[Common].[ResolveTicket],All,1217.0,968.78,76.16,78.14,93.75,421.88,78.14
2018-06-15,UcmTicketingDbConn,[Common].[ResolveTicket],All,1093.0,19289.18,77.05,78.16,109.35,795.86,78.16
2018-06-18,UcmTicketingDbConn,[Common].[ResolveTicket],All,1197.0,1355.63,75.84,78.14,93.76,328.29,78.14
2018-06-19,UcmTicketingDbConn,[Common].[ResolveTicket],All,1129.0,878.92,75.54,78.13,93.76,328.08,78.13
2018-06-20,UcmTicketingDbConn,[Common].[ResolveTicket],All,1078.0,1453.2,76.33,78.15,124.96,484.36,78.15
2018-06-21,UcmTicketingDbConn,[Common].[ResolveTicket],All,1157.0,1091.31,77.26,78.15,95.65,435.52,78.15
2018-06-22,UcmTicketingDbConn,[Common].[ResolveTicket],All,1163.0,1109.51,76.37,78.14,97.5,359.35,78.14
2018-06-25,UcmTicketingDbConn,[Common].[ResolveTicket],All,1136.0,1173.19,76.03,78.15,94.68,531.62,78.15
2018-06-26,UcmTicketingDbConn,[Common].[ResolveTicket],All,1096.0,19074.21,78.05,78.16,131.81,515.58,78.16
2018-06-27,UcmTicketingDbConn,[Common].[ResolveTicket],All,1175.0,19264.51,78.08,78.16,141.2,812.64,78.16
2018-06-28,UcmTicketingDbConn,[Common].[ResolveTicket],All,1201.0,6047.85,78.1,78.15,97.62,296.93,78.15
2018-06-29,UcmTicketingDbConn,[Common].[ResolveTicket],All,1272.0,12110.01,78.01,78.15,124.97,658.69,78.15
2018-07-02,UcmTicketingDbConn,[Common].[ResolveTicket],All,1254.0,4124.97,78.08,78.16,171.91,693.7,78.16
2018-07-03,UcmTicketingDbConn,[Common].[ResolveTicket],All,1364.0,1390.67,78.02,78.15,109.42,622.02,78.15
2018-07-04,UcmTicketingDbConn,[Common].[ResolveTicket],All,959.0,19291.18,78.1,78.16,124.48,711.29,78.16
2018-07-05,UcmTicketingDbConn,[Common].[ResolveTicket],All,1120.0,1511.08,78.08,78.15,124.61,546.88,78.15
2018-07-06,UcmTicketingDbConn,[Common].[ResolveTicket],All,1186.0,1968.77,77.31,78.15,125.0,459.66,78.15
2018-07-09,UcmTicketingDbConn,[Common].[ResolveTicket],All,1105.0,1055.31,78.1,78.16,96.5,624.28,78.16
2018-07-10,UcmTicketingDbConn,[Common].[ResolveTicket],All,1288.0,16303.59,78.12,78.17,109.38,415.98,78.17
2018-07-11,UcmTicketingDbConn,[Common].[ResolveTicket],All,1099.0,1043.34,78.1,78.16,109.42,436.28,78.16
2018-07-12,UcmTicketingDbConn,[Common].[ResolveTicket],All,1289.0,1440.72,78.09,78.15,93.79,250.19,78.15
2018-07-13,UcmTicketingDbConn,[Common].[ResolveTicket],All,1086.0,19264.93,77.42,78.15,93.8,420.52,78.15
2018-07-16,UcmTicketingDbConn,[Common].[ResolveTicket],All,998.0,781.36,78.09,78.15,93.79,218.77,78.15
2018-07-17,UcmTicketingDbConn,[Common].[ResolveTicket],All,1158.0,1953.23,78.1,78.17,108.8,296.88,78.17
2018-07-18,UcmTicketingDbConn,[Common].[ResolveTicket],All,1106.0,1497.13,78.09,78.16,109.41,448.08,78.16
2018-07-19,UcmTicketingDbConn,[Common].[ResolveTicket],All,117.0,218.8,78.13,78.19,140.63,187.58,78.19
