startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Common].[TransferTicket],All,79.0,640.94,78.11,78.14,312.5,640.94,78.14
2018-02-05,UcmTicketingDbConn,[Common].[TransferTicket],All,95.0,1250.03,62.52,78.13,249.98,1250.03,78.13
2018-02-06,UcmTicketingDbConn,[Common].[TransferTicket],All,98.0,906.24,62.53,78.13,203.12,906.24,78.13
2018-02-07,UcmTicketingDbConn,[Common].[TransferTicket],All,114.0,750.0,62.52,78.13,203.15,457.19,78.13
2018-02-08,UcmTicketingDbConn,[Common].[TransferTicket],All,106.0,812.6,71.84,78.23,328.13,705.58,78.23
2018-02-09,UcmTicketingDbConn,[Common].[TransferTicket],All,70.0,640.62,62.51,78.13,171.89,640.62,78.13
2018-02-12,UcmTicketingDbConn,[Common].[TransferTicket],All,69.0,579.33,78.11,78.14,234.42,579.33,78.14
2018-02-13,UcmTicketingDbConn,[Common].[TransferTicket],All,59.0,984.38,78.12,93.74,312.44,984.38,93.74
2018-02-14,UcmTicketingDbConn,[Common].[TransferTicket],All,118.0,749.98,76.31,78.12,249.29,640.59,78.12
2018-02-15,UcmTicketingDbConn,[Common].[TransferTicket],All,72.0,906.73,78.12,78.16,421.33,906.73,78.16
2018-02-16,UcmTicketingDbConn,[Common].[TransferTicket],All,75.0,919.92,62.52,78.13,609.42,919.92,78.13
2018-02-19,UcmTicketingDbConn,[Common].[TransferTicket],All,58.0,254.16,62.5,78.12,134.11,254.16,78.12
2018-02-20,UcmTicketingDbConn,[Common].[TransferTicket],All,110.0,715.34,62.51,78.13,250.01,671.89,78.13
2018-02-21,UcmTicketingDbConn,[Common].[TransferTicket],All,71.0,406.23,63.25,93.75,296.86,406.23,93.75
2018-02-22,UcmTicketingDbConn,[Common].[TransferTicket],All,83.0,602.66,74.23,78.14,187.49,602.66,78.14
2018-02-23,UcmTicketingDbConn,[Common].[TransferTicket],All,50.0,390.61,62.54,78.17,234.37,390.61,78.17
2018-02-26,UcmTicketingDbConn,[Common].[TransferTicket],All,48.0,234.37,78.08,78.13,218.75,234.37,78.13
2018-02-27,UcmTicketingDbConn,[Common].[TransferTicket],All,76.0,250.03,62.52,78.13,234.41,250.03,78.13
2018-02-28,UcmTicketingDbConn,[Common].[TransferTicket],All,67.0,1062.52,78.12,78.17,296.89,1062.52,78.17
2018-03-01,UcmTicketingDbConn,[Common].[TransferTicket],All,58.0,906.14,78.12,78.32,265.5,906.14,78.32
2018-03-02,UcmTicketingDbConn,[Common].[TransferTicket],All,77.0,734.39,62.53,78.13,312.51,734.39,78.13
2018-03-05,UcmTicketingDbConn,[Common].[TransferTicket],All,71.0,734.36,76.85,78.13,250.56,734.36,78.13
2018-03-06,UcmTicketingDbConn,[Common].[TransferTicket],All,68.0,625.0,78.01,78.13,125.03,625.0,78.13
2018-03-07,UcmTicketingDbConn,[Common].[TransferTicket],All,64.0,920.72,77.89,78.14,250.01,920.72,78.14
2018-03-08,UcmTicketingDbConn,[Common].[TransferTicket],All,79.0,359.37,76.81,78.92,281.24,359.37,78.92
2018-03-09,UcmTicketingDbConn,[Common].[TransferTicket],All,42.0,296.86,66.77,78.13,140.63,296.86,78.13
2018-03-12,UcmTicketingDbConn,[Common].[TransferTicket],All,68.0,671.88,78.12,79.34,250.05,671.88,79.34
2018-03-13,UcmTicketingDbConn,[Common].[TransferTicket],All,61.0,1749.94,78.11,78.16,330.11,1749.94,78.16
2018-03-14,UcmTicketingDbConn,[Common].[TransferTicket],All,90.0,624.98,78.11,93.74,269.49,624.98,93.74
2018-03-15,UcmTicketingDbConn,[Common].[TransferTicket],All,78.0,703.11,78.11,78.16,499.99,703.11,78.16
2018-03-16,UcmTicketingDbConn,[Common].[TransferTicket],All,131.0,40087.86,78.08,109.39,312.48,554.13,109.39
2018-03-19,UcmTicketingDbConn,[Common].[TransferTicket],All,79.0,3515.64,78.12,140.62,218.76,3515.64,140.62
2018-03-20,UcmTicketingDbConn,[Common].[TransferTicket],All,83.0,701.13,78.11,78.13,234.37,701.13,78.13
2018-03-21,UcmTicketingDbConn,[Common].[TransferTicket],All,64.0,296.87,78.09,78.13,140.66,296.87,78.13
2018-03-22,UcmTicketingDbConn,[Common].[TransferTicket],All,84.0,4515.53,78.14,140.62,281.26,4515.53,140.62
2018-03-23,UcmTicketingDbConn,[Common].[TransferTicket],All,68.0,703.12,78.13,140.63,359.38,703.12,140.63
2018-03-26,UcmTicketingDbConn,[Common].[TransferTicket],All,84.0,624.95,78.14,93.77,265.66,624.95,93.77
2018-03-27,UcmTicketingDbConn,[Common].[TransferTicket],All,76.0,875.01,78.13,93.75,312.51,875.01,93.75
2018-03-28,UcmTicketingDbConn,[Common].[TransferTicket],All,93.0,531.25,78.12,93.71,249.98,531.25,93.71
2018-03-29,UcmTicketingDbConn,[Common].[TransferTicket],All,87.0,640.68,78.13,109.66,250.03,640.68,109.66
2018-03-30,UcmTicketingDbConn,[Common].[TransferTicket],All,66.0,646.25,78.13,93.79,343.75,646.25,93.79
2018-04-02,UcmTicketingDbConn,[Common].[TransferTicket],All,48.0,1070.34,78.16,109.38,312.5,1070.34,109.38
2018-04-03,UcmTicketingDbConn,[Common].[TransferTicket],All,80.0,749.98,78.13,140.17,312.49,749.98,140.17
2018-04-04,UcmTicketingDbConn,[Common].[TransferTicket],All,61.0,624.99,78.13,93.72,265.62,624.99,93.72
2018-04-05,UcmTicketingDbConn,[Common].[TransferTicket],All,70.0,734.37,78.13,93.76,328.11,734.37,93.76
2018-04-06,UcmTicketingDbConn,[Common].[TransferTicket],All,73.0,718.73,78.13,93.75,671.86,718.73,93.75
2018-04-09,UcmTicketingDbConn,[Common].[TransferTicket],All,86.0,765.61,78.12,93.74,283.56,765.61,93.74
2018-04-10,UcmTicketingDbConn,[Common].[TransferTicket],All,69.0,704.65,78.15,93.75,359.41,704.65,93.75
2018-04-11,UcmTicketingDbConn,[Common].[TransferTicket],All,90.0,1093.73,78.16,96.57,703.12,1093.73,96.57
2018-04-12,UcmTicketingDbConn,[Common].[TransferTicket],All,84.0,796.87,78.14,140.65,654.6,796.87,140.65
2018-04-13,UcmTicketingDbConn,[Common].[TransferTicket],All,62.0,703.1,78.13,93.75,343.76,703.1,93.75
2018-04-16,UcmTicketingDbConn,[Common].[TransferTicket],All,61.0,828.14,78.16,156.26,282.07,828.14,156.26
2018-04-17,UcmTicketingDbConn,[Common].[TransferTicket],All,67.0,1156.26,78.15,125.0,328.14,1156.26,125.0
2018-04-18,UcmTicketingDbConn,[Common].[TransferTicket],All,87.0,781.24,78.13,93.75,437.53,781.24,93.75
2018-04-19,UcmTicketingDbConn,[Common].[TransferTicket],All,89.0,1890.56,78.13,84.32,343.74,1890.56,84.32
2018-04-20,UcmTicketingDbConn,[Common].[TransferTicket],All,72.0,891.97,78.13,93.7,342.07,891.97,93.7
2018-04-23,UcmTicketingDbConn,[Common].[TransferTicket],All,97.0,812.49,78.13,93.74,765.65,812.49,93.74
2018-04-24,UcmTicketingDbConn,[Common].[TransferTicket],All,90.0,867.71,78.15,93.75,390.66,867.71,93.75
2018-04-25,UcmTicketingDbConn,[Common].[TransferTicket],All,87.0,976.06,78.16,140.62,390.47,976.06,140.62
2018-04-26,UcmTicketingDbConn,[Common].[TransferTicket],All,85.0,11656.11,78.14,109.38,499.63,11656.11,109.38
2018-04-27,UcmTicketingDbConn,[Common].[TransferTicket],All,80.0,958.66,78.14,125.0,375.0,958.66,125.0
2018-04-30,UcmTicketingDbConn,[Common].[TransferTicket],All,97.0,749.97,78.14,218.75,281.25,749.97,218.75
2018-05-01,UcmTicketingDbConn,[Common].[TransferTicket],All,52.0,672.4,78.13,93.75,281.24,672.4,93.75
2018-05-02,UcmTicketingDbConn,[Common].[TransferTicket],All,73.0,770.64,78.13,93.75,390.65,770.64,93.75
2018-05-03,UcmTicketingDbConn,[Common].[TransferTicket],All,68.0,953.07,78.14,96.71,296.86,953.07,96.71
2018-05-04,UcmTicketingDbConn,[Common].[TransferTicket],All,58.0,437.46,78.13,81.89,312.53,437.46,81.89
2018-05-07,UcmTicketingDbConn,[Common].[TransferTicket],All,63.0,718.77,78.13,86.15,296.87,718.77,86.15
2018-05-08,UcmTicketingDbConn,[Common].[TransferTicket],All,72.0,1125.0,78.13,78.16,734.36,1125.0,78.16
2018-05-09,UcmTicketingDbConn,[Common].[TransferTicket],All,95.0,734.37,78.13,125.0,671.87,734.37,125.0
2018-05-10,UcmTicketingDbConn,[Common].[TransferTicket],All,94.0,8984.29,78.13,93.73,609.36,8984.29,93.73
2018-05-11,UcmTicketingDbConn,[Common].[TransferTicket],All,73.0,1062.49,78.13,93.47,578.12,1062.49,93.47
