startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,13144.0,5010.23,62.5,62.51,93.75,234.38,62.51
2018-02-05,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,12806.0,5347.16,62.49,62.51,109.37,265.63,62.51
2018-02-06,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14439.0,6925.28,62.5,62.51,140.62,265.88,62.51
2018-02-07,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14308.0,6071.18,62.5,62.51,109.38,265.62,62.51
2018-02-08,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,13652.0,48173.47,62.5,78.1,109.36,265.63,78.1
2018-02-09,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14338.0,18911.79,62.5,62.51,93.76,265.63,62.51
2018-02-12,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14936.0,3406.17,62.5,62.51,78.46,218.74,62.51
2018-02-13,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,10387.0,19266.19,62.5,62.51,93.92,265.59,62.51
2018-02-14,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,13248.0,1863.0,62.49,62.51,78.23,156.26,62.51
2018-02-15,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,13054.0,19251.88,62.49,62.52,375.0,797.63,62.52
2018-02-16,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,12193.0,4375.27,62.49,62.51,78.16,171.91,62.51
2018-02-19,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,9891.0,1109.36,62.49,62.5,78.13,203.12,62.5
2018-02-20,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,13647.0,4317.52,62.49,62.51,78.13,177.1,62.51
2018-02-21,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14294.0,19496.43,62.49,62.51,79.46,203.06,62.51
2018-02-22,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14242.0,4425.1,62.49,62.51,78.14,171.89,62.51
2018-02-23,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,12890.0,1906.18,62.49,62.51,78.13,171.67,62.51
2018-02-26,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,13318.0,1406.23,62.49,62.5,78.14,203.12,62.5
2018-02-27,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14431.0,19268.93,62.49,62.51,78.28,234.31,62.51
2018-02-28,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14035.0,19268.23,62.5,62.51,93.74,172.45,62.51
2018-03-01,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,14044.0,19265.49,62.5,62.51,78.13,203.11,62.51
2018-03-02,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,12666.0,16811.02,62.5,62.51,78.17,188.86,62.51
2018-03-05,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,12622.0,4174.77,62.49,62.5,78.13,156.26,62.5
2018-03-06,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,13878.0,4023.39,62.5,62.51,78.21,187.46,62.51
2018-03-07,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,12825.0,19262.07,62.5,62.51,93.74,234.39,62.51
2018-03-08,UcmTicketingDbConn,[Team].[GetRequesterTeams],All,12875.0,19271.79,62.49,62.5,78.13,171.87,62.5
