startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,87.0,453.11,62.47,78.13,265.61,453.11,78.13
2018-02-05,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,76.0,1046.82,15.64,62.51,78.22,1046.82,62.51
2018-02-06,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,73.0,1187.52,62.5,78.12,440.93,1187.52,78.12
2018-02-07,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,58.0,375.04,31.22,78.08,234.37,375.04,78.08
2018-02-08,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,66.0,1075.92,15.71,78.11,93.72,1075.92,78.11
2018-02-09,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,84.0,1051.79,62.5,78.12,796.87,1051.79,78.12
2018-02-12,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,87.0,1003.06,62.5,78.12,109.34,1003.06,78.12
2018-02-13,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,27.0,125.02,78.12,78.12,93.74,125.02,78.12
2018-02-14,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,71.0,515.63,15.66,78.12,124.95,515.63,78.12
2018-02-15,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,60.0,453.11,17.19,78.12,140.62,453.11,78.12
2018-02-16,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,101.0,437.52,18.69,78.12,93.81,421.81,78.12
2018-02-19,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,65.0,281.26,20.1,78.11,93.75,281.26,78.11
2018-02-20,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,75.0,218.75,15.65,62.51,79.12,218.75,62.51
2018-02-21,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,70.0,107.94,18.88,78.09,78.23,107.94,78.09
2018-02-22,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,90.0,187.49,20.44,78.1,79.73,187.49,78.1
2018-02-23,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,94.0,224.02,31.26,78.11,78.14,224.02,78.11
2018-02-26,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,69.0,93.81,62.5,78.11,78.15,93.81,78.11
2018-02-27,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,64.0,1023.76,57.92,78.12,78.6,1023.76,78.12
2018-02-28,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,75.0,921.89,31.22,78.11,109.37,921.89,78.11
2018-03-01,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,88.0,127.57,31.2,78.11,78.16,127.57,78.11
2018-03-02,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,63.0,125.04,62.18,78.12,78.77,125.04,78.12
2018-03-05,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,71.0,406.31,62.46,78.12,93.74,406.31,78.12
2018-03-06,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,69.0,125.0,62.5,78.12,93.76,125.0,78.12
2018-03-07,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,61.0,359.41,18.49,62.51,78.17,359.41,62.51
2018-03-08,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,71.0,171.87,62.49,78.12,78.22,171.87,78.12
2018-03-09,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,46.0,93.75,62.51,78.11,81.15,93.75,78.11
2018-03-12,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,72.0,406.28,60.35,78.12,78.33,406.28,78.12
2018-03-13,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,74.0,171.88,62.5,78.12,93.69,171.88,78.12
2018-03-14,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,82.0,734.41,30.61,65.05,78.13,734.41,65.05
2018-03-15,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,72.0,125.04,62.5,78.12,93.71,125.04,78.12
2018-03-16,UcmTicketingDbConn,[Team].[GetTeamsForEscalation],All,76.0,963.63,62.5,78.12,140.61,963.63,78.12
