startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,100.0,5376.73,78.11,78.17,374.99,1015.61,78.17
2018-02-05,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,111.0,1140.66,78.11,78.13,109.39,890.62,78.13
2018-02-06,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,123.0,21968.77,78.11,78.13,359.37,984.37,78.13
2018-02-07,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,138.0,991.02,78.12,78.14,125.0,296.87,78.14
2018-02-08,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,129.0,19997.03,78.09,78.14,539.61,1062.69,78.14
2018-02-09,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,90.0,1078.22,62.52,78.13,734.38,1078.22,78.13
2018-02-12,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,90.0,1045.86,78.11,78.13,124.99,1045.86,78.13
2018-02-13,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,79.0,390.71,76.57,78.12,99.72,390.71,78.12
2018-02-14,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,150.0,1078.11,62.51,78.12,79.95,172.03,78.12
2018-02-15,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,83.0,1484.24,78.11,78.13,312.48,1484.24,78.13
2018-02-16,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,106.0,687.12,62.51,78.12,93.71,249.96,78.12
2018-02-19,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,75.0,124.98,62.51,78.12,78.16,124.98,78.12
2018-02-20,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,135.0,968.89,78.02,78.13,90.07,431.18,78.13
2018-02-21,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,101.0,171.89,78.07,78.13,93.71,125.0,78.13
2018-02-22,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,103.0,453.17,78.08,78.13,79.9,328.09,78.13
2018-02-23,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,71.0,9739.21,78.11,78.13,265.4,9739.21,78.13
2018-02-26,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,55.0,1062.46,78.09,78.13,140.62,1062.46,78.13
2018-02-27,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,98.0,1000.0,78.09,78.12,125.0,1000.0,78.12
2018-02-28,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,82.0,468.73,78.12,78.14,94.33,468.73,78.14
2018-03-01,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,77.0,109.39,76.1,78.12,93.75,109.39,78.12
2018-03-02,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,97.0,93.75,62.51,78.12,80.84,93.75,78.12
2018-03-05,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,88.0,328.12,78.12,78.13,93.76,328.12,78.13
2018-03-06,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,86.0,93.76,78.11,78.13,93.69,93.76,78.13
2018-03-07,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,79.0,375.03,78.09,78.13,187.49,375.03,78.13
2018-03-08,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,98.0,250.0,62.51,78.12,93.75,250.0,78.12
2018-03-09,UcmTicketingDbConn,[Team].[GetTeamsForTransfer],All,62.0,125.01,78.11,78.13,78.4,125.01,78.13
