startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,UcmTicketingDbConn,[Team].[GetTeams],All,4007.0,14929.02,78.54,140.71,250.19,656.29,140.71
2018-02-05,UcmTicketingDbConn,[Team].[GetTeams],All,3876.0,12204.3,93.75,156.22,320.42,718.76,156.22
2018-02-06,UcmTicketingDbConn,[Team].[GetTeams],All,4521.0,19275.12,92.9,156.27,312.46,750.0,156.27
2018-02-07,UcmTicketingDbConn,[Team].[GetTeams],All,4364.0,19264.62,93.7,156.52,315.02,750.0,156.52
2018-02-08,UcmTicketingDbConn,[Team].[GetTeams],All,4301.0,19375.41,104.51,156.25,265.65,765.23,156.25
2018-02-09,UcmTicketingDbConn,[Team].[GetTeams],All,4523.0,19248.85,93.75,156.21,280.44,750.54,156.21
2018-02-12,UcmTicketingDbConn,[Team].[GetTeams],All,6085.0,11758.78,78.12,109.38,278.91,765.58,109.38
2018-02-13,UcmTicketingDbConn,[Team].[GetTeams],All,3689.0,13862.72,78.13,138.26,351.25,749.76,138.26
2018-02-14,UcmTicketingDbConn,[Team].[GetTeams],All,4986.0,19263.92,78.12,93.79,249.99,702.72,93.79
2018-02-15,UcmTicketingDbConn,[Team].[GetTeams],All,4505.0,19256.61,78.12,95.41,281.24,753.21,95.41
2018-02-16,UcmTicketingDbConn,[Team].[GetTeams],All,3748.0,12174.58,78.12,109.35,265.61,687.54,109.35
2018-02-19,UcmTicketingDbConn,[Team].[GetTeams],All,3281.0,1827.92,78.12,93.36,265.88,750.02,93.36
2018-02-20,UcmTicketingDbConn,[Team].[GetTeams],All,4279.0,13261.2,78.12,94.46,234.43,703.13,94.46
2018-02-21,UcmTicketingDbConn,[Team].[GetTeams],All,4705.0,13825.96,78.12,93.76,235.75,686.81,93.76
2018-02-22,UcmTicketingDbConn,[Team].[GetTeams],All,5031.0,19249.41,78.12,93.74,233.73,718.85,93.74
2018-02-23,UcmTicketingDbConn,[Team].[GetTeams],All,4126.0,19245.82,78.12,83.28,218.75,671.66,83.28
2018-02-26,UcmTicketingDbConn,[Team].[GetTeams],All,4908.0,14041.02,78.12,109.46,265.62,687.53,109.46
2018-02-27,UcmTicketingDbConn,[Team].[GetTeams],All,4879.0,14100.8,78.12,94.69,234.37,593.75,94.69
2018-02-28,UcmTicketingDbConn,[Team].[GetTeams],All,5317.0,19265.25,78.12,107.65,250.0,624.99,107.65
2018-03-01,UcmTicketingDbConn,[Team].[GetTeams],All,6402.0,14594.18,78.12,93.75,218.75,375.02,93.75
2018-03-02,UcmTicketingDbConn,[Team].[GetTeams],All,7340.0,15007.92,78.12,93.75,234.22,615.36,93.75
2018-03-05,UcmTicketingDbConn,[Team].[GetTeams],All,4963.0,14335.31,78.12,93.73,218.74,687.47,93.73
2018-03-06,UcmTicketingDbConn,[Team].[GetTeams],All,5508.0,19266.1,78.12,109.37,250.15,687.54,109.37
2018-03-07,UcmTicketingDbConn,[Team].[GetTeams],All,5265.0,19259.55,78.12,124.7,281.2,696.78,124.7
2018-03-08,UcmTicketingDbConn,[Team].[GetTeams],All,4583.0,19380.96,78.12,93.74,218.73,671.56,93.74
2018-03-09,UcmTicketingDbConn,[Team].[GetTeams],All,4095.0,18774.61,78.12,92.69,203.12,624.99,92.69
2018-03-12,UcmTicketingDbConn,[Team].[GetTeams],All,6118.0,19316.56,78.12,109.36,234.42,687.48,109.36
2018-03-13,UcmTicketingDbConn,[Team].[GetTeams],All,5441.0,19284.96,78.12,109.22,234.69,703.12,109.22
2018-03-14,UcmTicketingDbConn,[Team].[GetTeams],All,6727.0,2171.87,78.12,120.32,261.5,640.78,120.32
2018-03-15,UcmTicketingDbConn,[Team].[GetTeams],All,8230.0,19266.85,78.12,93.75,204.6,421.87,93.75
2018-03-16,UcmTicketingDbConn,[Team].[GetTeams],All,5807.0,19379.11,78.12,109.37,249.99,689.27,109.37
2018-03-19,UcmTicketingDbConn,[Team].[GetTeams],All,4759.0,19368.01,78.12,92.73,203.1,578.11,92.73
2018-03-20,UcmTicketingDbConn,[Team].[GetTeams],All,5410.0,19283.08,78.12,108.95,249.87,734.29,108.95
2018-03-21,UcmTicketingDbConn,[Team].[GetTeams],All,6915.0,19366.83,78.12,93.77,218.75,578.13,93.77
2018-03-22,UcmTicketingDbConn,[Team].[GetTeams],All,5037.0,19265.4,78.12,80.85,203.12,640.61,80.85
2018-03-23,UcmTicketingDbConn,[Team].[GetTeams],All,10766.0,19383.62,78.12,80.36,203.1,468.15,80.36
2018-03-26,UcmTicketingDbConn,[Team].[GetTeams],All,4887.0,19374.2,78.12,93.7,219.07,687.5,93.7
2018-03-27,UcmTicketingDbConn,[Team].[GetTeams],All,8600.0,19849.36,78.12,109.32,234.38,687.24,109.32
2018-03-28,UcmTicketingDbConn,[Team].[GetTeams],All,6186.0,14365.15,78.12,93.82,234.37,609.34,93.82
2018-03-29,UcmTicketingDbConn,[Team].[GetTeams],All,5655.0,19267.91,78.12,94.05,234.13,718.31,94.05
2018-03-30,UcmTicketingDbConn,[Team].[GetTeams],All,7449.0,11133.86,78.12,93.75,234.37,733.8,93.75
2018-04-02,UcmTicketingDbConn,[Team].[GetTeams],All,3906.0,15659.65,78.12,109.38,265.63,705.02,109.38
2018-04-03,UcmTicketingDbConn,[Team].[GetTeams],All,6313.0,19266.66,78.12,109.37,250.42,718.72,109.37
2018-04-04,UcmTicketingDbConn,[Team].[GetTeams],All,6069.0,19283.89,78.11,93.76,234.2,625.01,93.76
2018-04-05,UcmTicketingDbConn,[Team].[GetTeams],All,6540.0,14479.08,78.11,93.74,219.96,640.62,93.74
2018-04-06,UcmTicketingDbConn,[Team].[GetTeams],All,7274.0,19258.93,78.11,92.53,203.52,515.62,92.53
2018-04-09,UcmTicketingDbConn,[Team].[GetTeams],All,5259.0,12191.68,78.11,89.45,194.11,421.44,89.45
2018-04-10,UcmTicketingDbConn,[Team].[GetTeams],All,5765.0,1484.35,78.11,93.02,203.45,582.24,93.02
2018-04-11,UcmTicketingDbConn,[Team].[GetTeams],All,10317.0,19405.32,78.12,94.02,234.38,733.86,94.02
2018-04-12,UcmTicketingDbConn,[Team].[GetTeams],All,7597.0,19270.4,78.12,105.1,234.37,671.87,105.1
2018-04-13,UcmTicketingDbConn,[Team].[GetTeams],All,9987.0,19374.73,78.11,93.71,217.96,656.23,93.71
2018-04-16,UcmTicketingDbConn,[Team].[GetTeams],All,5590.0,11517.05,78.11,93.76,234.37,703.15,93.76
2018-04-17,UcmTicketingDbConn,[Team].[GetTeams],All,10526.0,19370.22,78.11,93.74,234.31,734.34,93.74
2018-04-18,UcmTicketingDbConn,[Team].[GetTeams],All,7777.0,19371.48,78.12,109.25,249.98,703.13,109.25
2018-04-19,UcmTicketingDbConn,[Team].[GetTeams],All,6701.0,19306.23,78.11,93.74,223.94,734.35,93.74
2018-04-20,UcmTicketingDbConn,[Team].[GetTeams],All,5642.0,19275.33,78.11,80.18,203.12,655.85,80.18
2018-04-23,UcmTicketingDbConn,[Team].[GetTeams],All,6114.0,19375.01,78.11,93.92,234.39,734.35,93.92
2018-04-24,UcmTicketingDbConn,[Team].[GetTeams],All,5843.0,11401.47,78.12,109.34,249.7,734.36,109.34
2018-04-25,UcmTicketingDbConn,[Team].[GetTeams],All,11780.0,15412.3,78.12,93.75,218.75,604.98,93.75
2018-04-26,UcmTicketingDbConn,[Team].[GetTeams],All,5549.0,63467.54,78.13,161.31,859.02,3139.03,161.31
2018-04-27,UcmTicketingDbConn,[Team].[GetTeams],All,5330.0,19339.92,78.1,78.13,125.01,687.5,78.13
2018-04-30,UcmTicketingDbConn,[Team].[GetTeams],All,4314.0,2393.1,62.65,78.12,109.37,218.75,78.12
2018-05-01,UcmTicketingDbConn,[Team].[GetTeams],All,4958.0,4063.57,64.43,78.12,107.54,171.87,78.12
2018-05-02,UcmTicketingDbConn,[Team].[GetTeams],All,5756.0,19284.25,74.99,78.12,109.37,203.12,78.12
2018-05-03,UcmTicketingDbConn,[Team].[GetTeams],All,7086.0,19383.34,76.75,78.12,109.37,187.56,78.12
2018-05-04,UcmTicketingDbConn,[Team].[GetTeams],All,4812.0,19273.2,62.66,78.12,109.35,203.2,78.12
2018-05-07,UcmTicketingDbConn,[Team].[GetTeams],All,4612.0,14513.32,77.27,78.12,108.16,187.61,78.12
2018-05-08,UcmTicketingDbConn,[Team].[GetTeams],All,5401.0,6968.35,65.45,78.12,109.37,249.87,78.12
2018-05-09,UcmTicketingDbConn,[Team].[GetTeams],All,5762.0,44941.33,78.08,78.12,110.24,585.93,78.12
2018-05-10,UcmTicketingDbConn,[Team].[GetTeams],All,5022.0,24600.55,78.1,78.14,142.34,832.24,78.14
2018-05-11,UcmTicketingDbConn,[Team].[GetTeams],All,5541.0,5548.27,78.1,78.13,124.99,359.39,78.13
2018-05-14,UcmTicketingDbConn,[Team].[GetTeams],All,4705.0,3859.34,63.8,78.12,93.76,234.39,78.12
2018-05-15,UcmTicketingDbConn,[Team].[GetTeams],All,4706.0,3561.99,63.89,78.12,93.8,204.57,78.12
2018-05-16,UcmTicketingDbConn,[Team].[GetTeams],All,4456.0,2124.99,64.06,78.12,93.75,198.58,78.12
